02-11 23:35:24.827 14325 14325 I Finsky  : [2] VerifyApps: Install-time verification requested for package com.sokol.MediaPipeTest, PackageManager id = 45, Verifier id = d34436c0-6fe8-4f35-bce0-3f3e34abfe47
02-11 23:35:24.831  9500  9500 I GOS:GameServiceReceiver:  PkgInstallStarted for com.sokol.MediaPipeTest UserID : 0
02-11 23:35:24.839  9500 21087 I GOS:MainIntentService: onHandleIntent(). type(PACKAGE_CHANGED), changeType(INSTALL_STARTED), pkgName(com.sokol.MediaPipeTest)
02-11 23:35:24.839  9500 21087 I GOS:SystemEventReactor: onPackageInstallStarted(). packageName: com.sokol.MediaPipeTest
02-11 23:35:24.839  9500 21087 I GOS:SystemEventReactor: addPkgDataFromServer(), packageName : com.sokol.MediaPipeTest
02-11 23:35:24.854 14325 21086 I Finsky  : [1335] VerifyApps: Anti-malware verification task started for package=com.sokol.MediaPipeTest
02-11 23:35:24.881  9500 21087 I GOS:NetworkConnector: getSinglePkg(), packageName : com.sokol.MediaPipeTest
02-11 23:35:24.893 14325 21086 I Finsky  : [1335] VerifyApps: chooseScanResult for package=com.sokol.MediaPipeTest with timeout=15000ms
02-11 23:35:24.894 14325 14368 I Finsky  : [946] VerifyApps: Starting APK Analysis scan for com.sokol.MediaPipeTest.
02-11 23:35:24.894 14325 14368 I Finsky  : [946] Scanning package com.sokol.MediaPipeTest contents with client side protections. File: [f1dRF7nnlVO2kXBDoexMXwJd7M2HzKwvqdRNagKNZlM]
02-11 23:35:25.030 14325 21108 I Finsky  : [1339] VerifyApps: Verification package=com.sokol.MediaPipeTest, id=45, response=0, upload_requested=false, enable_ecm=false
02-11 23:35:25.034 14325 21108 I Finsky  : [1339] VerifyApps: PAM result saving to datastore delayed for package: com.sokol.MediaPipeTest
02-11 23:35:25.116 14325 14367 I Finsky  : [945] VerifyApps: APK Analysis scan finished for com.sokol.MediaPipeTest. Verdict: SAFE
02-11 23:35:25.116 14325 21086 I Finsky  : [1335] VerifyApps: ScanResultPicker returned for package=com.sokol.MediaPipeTest: SAFE
02-11 23:35:25.117 14325 21086 I Finsky  : [1335] VerifyApps: chooseScanResult returning verdict SAFE for package=com.sokol.MediaPipeTest
02-11 23:35:25.123  1527  1603 I PackageManager:           pkg{com.sokol.MediaPipeTest}
02-11 23:35:25.123 14325 14325 I Finsky  : [2] VerifyApps: Install-time verification complete: id=45, package_name=com.sokol.MediaPipeTest
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{5a07636 com.elix22.platform3d/10260} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{d1af937 com.elix22.spatialshaders/10215} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{3f50ea4 org.godotengine.platformer3d/10252} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{a5640d org.elix22.testsokol/10289} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{9f5bfc2 com.elix22.pumpkin/10280} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{1bf1d3 com.example.cardemo/10301} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{cdb1c98 org.libsdl.app/10617} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{bc67110 Demo5.Android.Demo5.Android/10401} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{c513409 com.example.godotcpptemplate/10321} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{464160e com.elix22.croptails/10283} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{a29d82f com.elix22.common_techniques/10270} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{7098e3c com.example.gdextensionsummator/10310} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{6d007c5 com.google.android.filament.livewallpaper/10236} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{4f851a com.elix22.instancing/10481} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{885c84b com.example.genname/10244} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{8ff5228 com.elix22.shapes_transform/10522} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{45778ce com.google.mediapipe.examples.facelandmarker/10616} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{2ae5b41 com.google.android.filament.hellocamera/10264} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{950d8e6 com.elix22.joltexamples/10282} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{1669e27 com.example.kenneyassetstesting/10382} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{60b68d4 com.example.godotgta/10323} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{4c46a7d com.example.firstpersoncontroller/10326} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{9c19d72 com.example.parkour/10331} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{d94f5c3 com.google.android.filament.streamtest/10218} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{3203e40 com.example.tpsdemo/10314} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{6081ebe com.google.android.filament.multiview/10262} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{fc72b1f com.example.godotbipedtutorial/10294} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{feafe6c com.example.terrain3d/10332} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{41b6c35 com.elix22.minisoccer/10284} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{a368ca com.elix22.starterkit_platformer3d/10271} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{5bd5a3b com.elix22.boss/10298} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{7bf9558 com.example.firstpersonshootergame/10324} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{62396b1 com.brackeys.game3d/10263} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{2f74796 com.elix22.urhobuilder/10297} -> PackageSetting{61b3f32 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.160  1527  1602 I AppsFilter: interaction: PackageSetting{52ea074 com.google.android.filament.gltf/10217} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{1e9ae12 com.example.gotdottest/10267} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1558 V WindowManager: Collecting in transition 250: Task{9c64d0f #801 type=standard A=10618:com.sokol.MediaPipeTest}, caller=com.android.server.wm.Transition.collect:761 com.android.server.wm.Transition.collectExistenceChange:944 com.android.server.wm.TransitionController.collectExistenceChange:985 com.android.server.wm.TransitionController.requestCloseTransitionIfNeeded:923 com.android.server.wm.ActivityRecord.handleAppDied:5154 
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{774c9e3 com.example.gtaminigame/10319} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{acf4fe0 com.example.yourfirst3dgamewithgodot4gdquest/10214} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{bdb7299 com.google.android.filament.litcube/10265} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{4b0995e com.example.gltfdebug/10411} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{aa0213f com.example.gles2test/10329} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{6098a0c com.elix22.controlloer3d/10286} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{b679f55 com.elix22.runner/10269} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1558 D WindowManager: prepareSync <SYNC_STATE_WAITING_FOR_DRAW>, mPrepareSyncSeqId=0, win=Window{c9a5ec0 u0 com.sokol.MediaPipeTest/com.sokol.app.SokolNativeActivity}
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{e68ed6a com.example.godoteasyvehiclephysics/10299} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{4ff925b com.elix22.lights/10235} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{ccb3af8 com.example.roborampage/10330} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{24fdbd1 com.example.godotroadgenerator/10311} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{5a07636 com.elix22.platform3d/10260} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{d1af937 com.elix22.spatialshaders/10215} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{3f50ea4 org.godotengine.platformer3d/10252} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{a5640d org.elix22.testsokol/10289} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{9f5bfc2 com.elix22.pumpkin/10280} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{1bf1d3 com.example.cardemo/10301} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{cdb1c98 org.libsdl.app/10617} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{bc67110 Demo5.Android.Demo5.Android/10401} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{c513409 com.example.godotcpptemplate/10321} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{464160e com.elix22.croptails/10283} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  2060  2120 V WindowManagerShell: Transition requested: android.os.BinderProxy@ef1e44b TransitionRequestInfo { type = CLOSE, triggerTask = TaskInfo{userId=0 taskId=801 displayId=0 isRunning=false baseIntent=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.sokol.MediaPipeTest/com.sokol.app.SokolNativeActivity } baseActivity=null topActivity=null origActivity=null realActivity=ComponentInfo{com.sokol.MediaPipeTest/com.sokol.app.SokolNativeActivity} numActivities=0 lastActiveTime=715116980 supportsMultiWindow=true resizeMode=1 isResizeable=true minWidth=-1 minHeight=-1 maxWidth=-1 maxHeight=-1 defaultMinSize=220 token=WCT{android.window.IWindowContainerToken$Stub$Proxy@d8f3e28} topActivityType=1 pictureInPictureParams=null shouldDockBigOverlays=false launchIntoPipHostTaskId=-1 lastParentTaskIdBeforePip=-1 displayCutoutSafeInsets=null topActivityInfo=null launchCookies=[] positionInParent=Point(0, 0) parentTaskId=-1 isFocused=true isVisible=true isVisibleRequested=true isSleeping=false topActivityInSizeCompat=false topActivityEligibleForLetterboxEducation= false topActivityLetterboxed= false isFromDoubleTap= false topActivityLetterboxVerticalPosition= -1 topActivityLetterboxHorizontalPosition= -1 topActivityLetterboxWidth=-1 topActivityLetterboxHeight=-1 locusId=null displayAreaFeatureId=1 cameraCompatControlState=hidden originallySupportedMultiWindow=true hasWallpaper=false topActivityInFixedAspectRatio=false rootAffinity=10618:com.sokol.MediaPipeTest topActivityInDisplayCompat=false topActivityInBoundsCompat=false topActivityBounds=null singleTapFromLetterbox=false isTopTaskInStage=false CoverLauncherWidgetTask=false CoverScreenTask=false isAllowedSeamlessRotation=false isTopTransparentActivity=false hasPopOver=false}, remoteTransition = null, displayChange = null }
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{a29d82f com.elix22.common_techniques/10270} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{7098e3c com.example.gdextensionsummator/10310} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{6d007c5 com.google.android.filament.livewallpaper/10236} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{4f851a com.elix22.instancing/10481} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{885c84b com.example.genname/10244} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{8ff5228 com.elix22.shapes_transform/10522} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{45778ce com.google.mediapipe.examples.facelandmarker/10616} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{2ae5b41 com.google.android.filament.hellocamera/10264} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{950d8e6 com.elix22.joltexamples/10282} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{1669e27 com.example.kenneyassetstesting/10382} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{60b68d4 com.example.godotgta/10323} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{4c46a7d com.example.firstpersoncontroller/10326} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{9c19d72 com.example.parkour/10331} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{d94f5c3 com.google.android.filament.streamtest/10218} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{3203e40 com.example.tpsdemo/10314} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{6081ebe com.google.android.filament.multiview/10262} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{fc72b1f com.example.godotbipedtutorial/10294} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{feafe6c com.example.terrain3d/10332} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.161  1527  1602 I AppsFilter: interaction: PackageSetting{41b6c35 com.elix22.minisoccer/10284} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.162  1527  1602 I AppsFilter: interaction: PackageSetting{a368ca com.elix22.starterkit_platformer3d/10271} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.162  1527  1558 V WindowManager: Collecting in transition 250: ActivityRecord{6f4fe70 u0 com.sokol.MediaPipeTest/com.sokol.app.SokolNativeActivity t801 f}}, caller=com.android.server.wm.Transition.collect:761 com.android.server.wm.TransitionController.collect:935 com.android.server.wm.ActivityRecord.onRemovedFromDisplay:5244 com.android.server.wm.DisplayContent.removeAppToken:1893 com.android.server.wm.ActivityRecord.removeFromHistory:4879 
02-11 23:35:25.162  1527  1602 I AppsFilter: interaction: PackageSetting{5bd5a3b com.elix22.boss/10298} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.162  1527  1602 I AppsFilter: interaction: PackageSetting{7bf9558 com.example.firstpersonshootergame/10324} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.162  1527  1602 I AppsFilter: interaction: PackageSetting{62396b1 com.brackeys.game3d/10263} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.162  1527  1602 I AppsFilter: interaction: PackageSetting{2f74796 com.elix22.urhobuilder/10297} -> PackageSetting{33dd283 com.sokol.MediaPipeTest/10618} BLOCKED
02-11 23:35:25.162  1527  1558 V WindowManager: Changing focus from Window{c9a5ec0 u0 com.sokol.MediaPipeTest/com.sokol.app.SokolNativeActivity} to null displayId=0 Callers=com.android.server.wm.RootWindowContainer.updateFocusedWindowLocked:578 com.android.server.wm.WindowManagerService.updateFocusedWindowLocked:6881 com.android.server.wm.ActivityRecord.onRemovedFromDisplay:5292 com.android.server.wm.DisplayContent.removeAppToken:1893 
02-11 23:35:25.210  1527  2204 I ImeTracker: com.sokol.MediaPipeTest:4b51a947: onRequestHide at ORIGIN_SERVER_HIDE_INPUT reason HIDE_REMOVE_CLIENT
02-11 23:35:25.210  1527  2204 I ImeTracker: com.sokol.MediaPipeTest:4b51a947: onCancelled at PHASE_SERVER_SHOULD_HIDE
